股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300789,唐源电气,21.42,+3.57,20%,22.61%,2066432,43401789,3.76%,32.438,1.116%,1787034315
SZ300492,华图山鼎,50.98,+7.65,17.66%,43.48%,1800060,82917236,1.28%,521.04,0.042%,7094566735
SH688073,毕得医药,123.91,+15.12,13.9%,50.83%,536625,64360953,4.02%,62.407,,8043790133
SH688508,芯朋微,82.16,+9.61,13.25%,26.77%,2698953,216158570,3.77%,61.615,0.722%,9310318618
SH688489,三未信安,125.65,+13.65,12.19%,24%,841977,104785483,5.18%,109.939,,9619295074
SH688153,唯捷创芯-U,48.75,+5.14,11.79%,32.73%,1351810,63588047,4.2%,-329.151,,19920196628
SH688506,百利天恒-U,54.1,+5.65,11.66%,119.03%,2536868,127649760,7.67%,-60.756,,21694100000
SH688338,赛科希德,46.45,+4.65,11.12%,40.8%,2690655,121502326,5.49%,35.086,0.536%,3792549600
SZ002280,联络互动,3.16,+0.29,10.1%,13.67%,113660993,355762940,6.02%,-8.828,,6879792973
SZ000785,居然之家,4.26,+0.39,10.08%,4.16%,27226401,112972285,0.99%,12.808,3.866%,27813697190
SZ002251,步步高,7.33,+0.67,10.06%,1.95%,58472786,415972390,6.77%,-16.563,1.364%,6332415961
SH601828,美凯龙,5.15,+0.47,10.04%,9.81%,3826153,19704688,0.11%,17.245,1.942%,22426873266
SH600501,航天晨光,12.49,+1.14,10.04%,13.75%,7025288,86527062,1.67%,77.987,,5394788214
SZ002793,罗欣药业,8.55,+0.78,10.04%,11.47%,10328957,86263806,1.73%,-16.017,0.468%,9298881555
SZ002144,宏达高科,13.48,+1.23,10.04%,33.47%,7458113,99056885,5.41%,57.592,0.742%,2382758877
SZ000701,厦门信达,7.46,+0.68,10.03%,27.3%,7862068,58651027,1.91%,1374.787,,4211754685
SH600130,波导股份,5.27,+0.48,10.02%,18.43%,76322609,392904862,9.94%,139.178,,4047360000
SZ002474,榕基软件,9.89,+0.9,10.01%,17.32%,36951887,355576632,7.42%,327.627,0.101%,6153558000
SH600128,弘业股份,9.34,+0.85,10.01%,20.05%,9888579,89657774,4.01%,63.874,1.499%,2304808450
SH600559,老白干酒,31.64,+2.88,10.01%,14.93%,28601627,882037861,3.19%,42.996,0.478%,28942609128
SZ001339,智微智能,23.53,+2.14,10%,15.68%,6836501,157552739,11.07%,39.585,,5811086450
SZ002927,泰永长征,14.41,+1.31,10%,42.39%,1927645,27777364,0.88%,33.266,0.833%,3216442987
SH600095,湘财股份,9.91,+0.9,9.99%,31.08%,89897312,859224441,7.96%,-1431.07,1.342%,28294278434
SZ002560,通达股份,9.69,+0.88,9.99%,42.08%,34352871,331828673,7.63%,80.396,,5122324602
SZ002678,珠江钢琴,6.72,+0.61,9.98%,12.56%,10728425,70236390,0.79%,72.325,0.64%,9162117371
SH603399,吉翔股份,15.65,+1.42,9.98%,13.41%,15257237,233811047,3%,67.496,,8116882657
SZ002363,隆基机械,8.82,+0.8,9.98%,25.11%,56609937,468571163,13.6%,96.445,2.256%,3696993855
SZ002808,恒久科技,8.93,+0.81,9.98%,24.55%,19276130,163222223,11.23%,-14.49,,2400384000
SZ002279,久其软件,8.84,+0.8,9.95%,25.21%,114539420,987671676,14.53%,-74.241,,7653394636
SH688266,泽璟制药-U,51.47,+4.62,9.86%,23.43%,1801583,89256199,1.28%,-21.537,,12352800000
SH600814,杭州解百,7.66,+0.67,9.59%,3.65%,13143593,98668116,1.84%,18.057,2.497%,5637247224
SH688023,安恒信息,171.5,+14.75,9.41%,-13.38%,1326840,223610879,1.86%,-70.644,,13518726743
SH688368,晶丰明源,140.71,+11.99,9.31%,25.97%,880889,120635877,2.25%,-83.658,2.861%,8851190884
