股票名称,股票代码,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
ST大集,SZ000564,1.51,0.07,4.86%,-5.03%,274946474.0,412175592.0,1.81%,-351.506,0,28937303776
二三四五,SZ002195,2.79,0.01,0.36%,38.81%,240968618.0,675905634.0,4.26%,39.632,0.714%,15915076503
中航产融,SH600705,3.95,0.22,5.9%,20.43%,163022610.0,634832372.0,1.85%,10.212,3.949%,34881233447
合力泰,SZ002217,3.2,0.15,4.92%,25.49%,157115178.0,509580100.0,5.05%,-6.293,0,9972531904
二六三,SZ002467,6.5,0.11,1.72%,30.78%,155433293.0,1002899672.0,11.44%,712.714,0,8991972056
京东方A,SZ000725,3.82,0.06,1.6%,13.02%,119797461.0,456128993.0,0.33%,13.275,5.538%,145910108268
农业银行,SH601288,2.93,-0.01,-0.34%,0.69%,115747200.0,339446962.0,0.04%,4.07,7.089%,1025450289248
久其软件,SZ002279,8.84,0.8,9.95%,25.21%,114539420.0,987671676.0,14.53%,-74.241,0,7653394636
联络互动,SZ002280,3.16,0.29,10.1%,13.67%,113660993.0,355762940.0,6.02%,-8.828,0,6879792973
中公教育,SZ002607,5.05,0.21,4.34%,9.07%,98895156.0,492133752.0,1.81%,-12.971,0,31145366914
湘财股份,SH600095,9.91,0.9,9.99%,31.08%,89897312.0,859224441.0,7.96%,-1431.07,1.342%,28294278434
省广集团,SZ002400,4.85,-0.01,-0.21%,13.32%,85383120.0,415714935.0,5.05%,44.983,0.33%,8437751700
东方财富,SZ300059,22.38,0.63,2.9%,15.36%,81027317.0,1790433612.0,0.73%,33.181,0.301%,295732957735
盈方微,SZ000670,8.95,0.34,3.95%,27.49%,77267061.0,679792785.0,12.66%,1243.172,0,7300648598
波导股份,SH600130,5.27,0.48,10.02%,18.43%,76322609.0,392904862.0,9.94%,139.178,0,4047360000
鹏都农牧,SZ002505,2.82,0.07,2.55%,9.3%,74222726.0,206380007.0,1.16%,327.647,0,17975416268
安妮股份,SZ002235,9.68,0.03,0.31%,30.63%,72348939.0,694079386.0,13.19%,-1650.355,0,5604463986
英飞拓,SZ002528,11.98,0.52,4.54%,6.77%,68476331.0,788901859.0,6.54%,-9.541,0,14348140732
康恩贝,SH600572,4.96,0.4,8.77%,4.86%,63306852.0,305919962.0,2.47%,6.313,3.245%,12747385102
东方证券,SH600958,10.92,0.09,0.83%,22.15%,59921811.0,652126243.0,0.8%,30.448,2.304%,92783366589
步步高,SZ002251,7.33,0.67,10.06%,1.95%,58472786.0,415972390.0,6.77%,-16.563,1.364%,6332415961
隆基机械,SZ002363,8.82,0.8,9.98%,25.11%,56609937.0,468571163.0,13.6%,96.445,2.256%,3696993855
兔宝宝,SZ002043,16.68,0.08,0.48%,53.59%,56236956.0,948794112.0,8.1%,22.324,2.809%,12891000907
太平洋,SH601099,2.74,0.1,3.79%,6.61%,55001695.0,148379911.0,0.81%,-63.624,0,18676706854
金发拉比,SZ002762,12.48,0.24,1.96%,33.19%,50034216.0,632835891.0,24.85%,254.852,0.396%,4457174750
歌尔股份,SZ002241,18.42,0.35,1.94%,9.45%,48910328.0,896721590.0,1.63%,13.174,1.082%,62969575046
贵州百灵,SZ002424,8.3,0.36,4.53%,1.72%,48775277.0,403101615.0,4.06%,113.191,0,11712960000
摩恩电气,SZ002451,6.89,0.29,4.39%,19.41%,47300988.0,331906415.0,10.77%,197.027,0,3026088000
乔治白,SZ002687,5.12,0.37,7.79%,5.35%,47102197.0,238188567.0,11.71%,15.886,2.685%,2593325000
广发证券,SZ000776,16.86,0.44,2.68%,8.84%,44665203.0,749005157.0,0.75%,17.284,2.971%,128567748892
遥望科技,SZ002291,17.63,0.46,2.68%,35.62%,44516434.0,782958067.0,5.28%,-44.891,0,16065572050
天风证券,SH601162,3.04,0.05,1.67%,5.92%,44102350.0,132808185.0,0.51%,7484.893,0.199%,26343902691
中国银行,SH601988,3.22,-0.01,-0.31%,1.9%,42695893.0,138004641.0,0.02%,4.192,6.842%,947928687796
首创证券,SH601136,18.28,0.5,2.81%,4.94%,41860075.0,751177752.0,15.31%,70.841,0,49965341864
恒瑞医药,SH600276,42.27,3.0,7.64%,9.71%,41087631.0,1693231262.0,0.64%,77.046,0.382%,269640426122
兴业证券,SH601377,6.62,0.14,2.16%,15.33%,40444965.0,265320538.0,0.47%,19.054,2.744%,57170235886
海航控股,SH600221,1.82,0.02,1.11%,-2.15%,39014500.0,71152656.0,0.12%,-6.137,0,78652451214
黑芝麻,SZ000716,9.65,-0.01,-0.1%,20.63%,38782216.0,365475086.0,5.56%,-62.584,0,7164715667
山西证券,SZ002500,5.92,0.42,7.64%,11.7%,38715712.0,223511365.0,1.08%,37.665,2.065%,21251447558
新潮能源,SH600777,2.22,0.0,0%,1.83%,38068340.0,84580375.0,0.6%,5.996,0,15097100732
红日药业,SZ300026,6.02,0.25,4.33%,5.99%,37372156.0,223705031.0,1.38%,34.788,0.661%,18085012119
榕基软件,SZ002474,9.89,0.9,10.01%,17.32%,36951887.0,355576632.0,7.42%,327.627,0.101%,6153558000
岭南股份,SZ002717,3.06,0.0,0%,7.37%,36852045.0,113315853.0,2.68%,-12.179,0,5138678946
唐人神,SZ002567,7.61,0.31,4.25%,7.49%,36290255.0,274219053.0,3.05%,-14.093,0,10512024705
*ST金洲,SZ000587,0.89,0.04,4.71%,-4.3%,36089600.0,32111902.0,2.97%,-1.695,0,1890136904
通达动力,SZ002576,24.45,1.95,8.67%,107.73%,34983147.0,851699725.0,21.6%,66.974,0.327%,4036695000
通达股份,SZ002560,9.69,0.88,9.99%,42.08%,34352871.0,331828673.0,7.63%,80.396,0,5122324602
海南机场,SH600515,4.87,0.11,2.31%,-2.99%,33595315.0,163665066.0,0.37%,30.902,0,55641257762
永泰能源,SH600157,1.53,0.0,0%,0%,33288800.0,50948999.0,0.15%,17.991,0,33993179142
唐山港,SH601000,2.84,0.08,2.9%,3.65%,32776765.0,93574676.0,0.55%,9.744,12.195%,16829637264
慈文传媒,SZ002343,6.98,0.22,3.25%,7.22%,32485634.0,229017210.0,6.86%,-17.201,0,3315148808
TCL科技,SZ000100,3.9,0.04,1.04%,4.84%,31974751.0,124232972.0,0.23%,53.862,3.162%,66580377267
工商银行,SH601398,4.33,-0.01,-0.23%,-0.23%,31803130.0,137978017.0,0.01%,4.269,6.751%,1543239093195
*ST吉艾,SZ300309,0.81,0.05,6.58%,-43.36%,31712440.0,25093620.0,3.79%,-0.837,0,717760250
美年健康,SZ002044,6.45,0.18,2.87%,5.22%,29628200.0,190046545.0,0.77%,-293.64,0,25246937803
天下秀,SH600556,7.47,0.01,0.13%,10.83%,29520372.0,217814096.0,1.63%,44.944,0.272%,13503874886
老白干酒,SH600559,31.64,2.88,10.01%,14.93%,28601627.0,882037861.0,3.19%,42.996,0.478%,28942609128
上海机场,SH600009,62.89,4.89,8.43%,8.98%,27413908.0,1717275976.0,2.51%,-52.613,0,156500591473
居然之家,SZ000785,4.26,0.39,10.08%,4.16%,27226401.0,112972285.0,0.99%,12.808,3.866%,27813697190
中信证券,SH600030,20.98,0.23,1.11%,5.37%,27189192.0,566712336.0,0.24%,14.119,2.585%,310935072472
福日电子,SH600203,6.57,0.52,8.6%,12.31%,26804508.0,171362181.0,4.74%,-22.139,0,3895931699
无锡银行,SH600908,5.77,0.3,5.48%,9.49%,26588282.0,151393941.0,1.5%,5.867,3.147%,10741888615
全通教育,SZ300359,8.59,0.09,1.06%,11.41%,26300250.0,225423817.0,4.15%,88.545,0,5434000761
中国石油,SH601857,5.1,0.01,0.2%,2.62%,25964472.0,132419982.0,0.02%,6.798,5.863%,933406986872
京沪高铁,SH601816,4.96,0.01,0.2%,0.81%,25695850.0,127795584.0,0.05%,392.216,0.986%,243568163671
福能股份,SH600483,11.94,1.0,9.14%,12.85%,25615911.0,301391082.0,1.47%,12.726,1.771%,23337554529
中国人保,SH601319,5.33,-0.02,-0.37%,2.11%,24639738.0,132292674.0,0.07%,9.713,2.753%,235713869807
